DataContainerAsset 2838D44A-1D20-42A5-8EE5-E14CC219EB1C #primary instance
    $::Asset
        $::DataContainer
        Name Weapons/Common/ZoomLevels/4_0xZoom
    Data BF74D9F8-E11C-4075-BDDB-AAC3F27C608D
ZoomLevelData BF74D9F8-E11C-4075-BDDB-AAC3F27C608D
    $::DataContainer
    FieldOfView 17.2
    AllowFieldOfViewScaling False
    LookSpeedMultiplier 0.31
    SprintLookSpeedMultiplier 0.5
    MoveSpeedMultiplier 0.5
    SwayPitchMultiplier 0.0009375
    SwayYawMultiplier 0.001875
    SupportedSwayPitchMultiplier 0.0009375
    SupportedSwayYawMultiplier 0.001875
    TimePitchMultiplier 0.15
    TimeYawMultiplier 0.05
    DispersionMultiplier 1.0
    RecoilMultiplier 1.0
    RecoilFovMultiplier 1.0
    CameraImpulseMultiplier 1.0
    FadeToBlackInZoomTransition False
    StartFadeToBlackAtTime 0.1
    FadeToBlackDuration 0.2
    StartFadeFromBlackAtTime 0.3
    FadeFromBlackDuration 0.1
    UseFovSpecialisation False
    ScreenExposureAreaScale 0.99
    OnActivateEventType ZoomLevelActivateEventType_Disable
