SoldierWeaponUnlockAsset 2B3A5797-5A34-4661-9071-54FF1974D385 #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/XP2_SteyrAug/U_SteyrAug_M320_LVG
        UnlockUserData *nullGuid*
        DebugUnlockId U_SteyrAug_M320_LVG
        Identifier 2752001114
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/xp2_steyraug/steyraug/8DF97E42-C7F1-4E4D-826E-E9B90206C16E
    Extra weapons/xp2_steyraug/u_steyraug_40mm_lvg/99D0D00A-7DEC-49AE-8D79-0327B0048845
    WeaponIdentifier 4203472467
